"Last updated","Type","Suburb","Venue","Address","Date and time of exposure","Health advice"
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Oran Park","Woolworths Oran Park","351 Oran Park Drive","6am to 11:20am on Sunday 11 July 20216am to 4pm on Saturday 10 July 20216am to 2pm on Friday 9 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Penrith","Tins and Wood","3/12 Tindale Street","5:20pm to 5:40pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Pyrmont","Coles Pyrmont","50-72 Union Street and Edward Street","10:30am to 10:50am on Thursday 8 July 20211:45pm to 2pm on Tuesday 6 July 20211pm to 1:20pm on Monday 5 July 20216:30pm to 7pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Riverwood","Commonwealth Bank Riverwood","237-239 Belmore Road","9:30am to 4pm on Monday 5 July 20219:30am to 4pm on Friday 2 July 20219:30am to 5pm on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Roselands","Coles Roselands","Roselands Shopping Centre, 24 Roselands Drive","3:15pm to 4:05pm on Wednesday 7 July 202110:30am to 11am on Monday 5 July 20217:15am to 7:45am on Saturday 3 July 202110:30am to 11am on Thursday 1 July 202110:30am to 11am on Wednesday 30 June 20214:45pm to 5:45pm on Wednesday 30 June 20217:45am to 7:50am on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Roselands","Fruit World Roselands","Roselands Shopping Centre, 24 Roselands Drive","4pm to 4:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Roselands","Fruit World Roselands","Roselands Shopping Centre, 24 Roselands Drive","1:55pm to 2:05pm on Wednesday 30 June 20211:55pm to 2:05pm on Tuesday 29 June 20211:55pm to 2:05pm on Monday 28 June 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Roselands","Mrs Fields Roselands Shopping Centre","Roselands Drive","10:30am to 10:45am on Monday 5 July 20217am to 7:10am on Saturday 3 July 202110:30am to 10:45am on Thursday 1 July 202110:30am to 10:45am on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately and self-isolate for 14 days","Wetherill Park","Cedar Valley Meats","Shop 1/44 Dargan Street","1:30pm to 2pm on Saturday 10 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Woolworths Wetherill Park","561-583 Polding Street","12pm to 12:35pm on Saturday 10 July 20213pm to 3:15pm on Friday 9 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"12/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Windsor","Windsor Riverview Shopping Centre","227 George Street","1:30pm to 3pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bass Hill","Bass Hill Plaza","753 Hume Highway","3pm to 4:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bass Hill","Broaster Chicken Bass Hill Plaza","753 Hume Highway","3pm to 4:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bass Hill","Kmart Bass Hill Plaza","753 Hume Highway","3pm to 4:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bass Hill","Woolworths Bass Hill","753 Hume Highway","1:30pm to 2:10pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Caringbah","Freedom Hearing","6/296-300 Kingsway","9am to 10:15am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Caringbah","Woolworths Caringbah","Caringbah Shopping Village, 58 President Avenue","7:15pm to 8pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Chippendale","Budget Petrol Chippendale","70 Regent Street","7pm to 7:10pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Dural","Caltex Petrol Station","532 Old Northern Road","5:10pm to 5:20pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Eastgardens","Ribs and Burgers Westfield Eastgardens","152 Bunnerong Road","5:30pm to 9:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately and self-isolate for 14 days","Edensor Park","Fred's Fruit Market","707 Smithfield Road","2pm to 3pm on Friday 9 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Aldi Fairfield Forum","8-36 Station Street","10am to 10:15am on Sunday 11 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
